Date,log_return,log_volume,log_volume_diff,co_log_ret,log_ret_rolling_z,garman-klass,gk_diff,gk_diff2,negative_return,positive_return,day_sin,day_cos,log_vix,log_vix_return,gk_ma5,gk_ma21,garch,target
2015-12-31,-0.009456485041468454,21.699834778078394,0.11476396212245632,-0.008113103178621638,-0.733213357125373,0.4127464904048044,0.09711204173490412,0.25962639614269034,-0.009456485041468454,0.0,-0.587785252292473,-0.8090169943749475,2.9019708434634395,0.05184249081697834,0.39172068482139866,0.6849458076265409,0.9148008466009796,1.5126714575533053
2016-01-04,-0.015422041797806152,22.183015100105436,0.4831803220270423,-0.012609794217649982,-1.2703784671696943,1.5126714575533053,1.099924967148501,1.002812925413597,-0.015422041797806152,0.0,0.0,1.0,3.0301337371283013,0.12816289366486178,0.637094894945837,0.7265521382926183,1.0735356886809193,0.6176149974352222
2016-01-05,0.002010204139359928,22.033386247363214,-0.1496288527422216,0.0014538838522492926,0.15540819169446718,0.6176149974352222,-0.8950564601180832,-1.994981427266584,0.0,0.002010204139359928,0.9510565162951535,0.30901699437494745,2.9621754979149046,-0.06795823921339661,0.6673632394281837,0.7025044139898857,0.952007322093525,0.9463994496426662
2016-01-06,-0.013202163002625333,22.19037030375311,0.156984056389895,-0.01071979886754483,-1.177483423769824,0.9463994496426662,0.328784452207444,1.2238409123255272,-0.013202163002625333,0.0,0.5877852522924732,-0.8090169943749473,3.0248055284504747,0.06263003053557004,0.7610133687411796,0.7094903474415708,1.0329670833751243,1.010749448655398
2016-01-07,-0.02398581651934517,22.347905613495506,0.15753530974239638,-0.021500611304631073,-1.6792260859262913,1.010749448655398,0.06434999901273186,-0.26443445319471215,-0.02398581651934517,0.0,-0.587785252292473,-0.8090169943749475,3.218475735687924,0.19367020723744943,0.9000363687382793,0.7243498582074124,1.4176804192421057,1.321534542890356
2016-01-08,-0.01089753744584776,22.263340809641036,-0.08456480385446952,-0.012378617941537955,-0.3840341633051963,1.321534542890356,0.3107850942349579,0.24643509522222606,-0.01089753744584776,0.0,-0.9510565162951536,0.30901699437494723,3.296207176278491,0.07773144059056669,1.0817939792353897,0.7550592493638775,1.317084914568224,1.2710787622990067
2016-01-11,0.0008529082958226297,22.250905668824416,-0.01243514081662056,-0.0012727714902625118,0.77740295686346,1.2710787622990067,-0.05045578059134925,-0.3612408748263072,0.0,0.0008529082958226297,0.0,1.0,3.190476318949817,-0.10573085732867371,1.0334754401845299,0.7466464733936574,1.1408496851366852,1.1582435185584536
2016-01-12,0.007772514117774243,22.309897656397492,0.05899198757307644,0.005612361591757918,1.2498392706626529,1.1582435185584536,-0.11283524374055309,-0.06237946314920384,0.0,0.007772514117774243,0.9510565162951535,0.30901699437494745,3.112181055638915,-0.0782952633109022,1.1416011444091763,0.7663545059660952,1.0557492114872893,1.7067287149300103
2016-01-13,-0.02528237507790898,22.34996000035172,0.04006234395422936,-0.026138216090502916,-1.4606016495429197,1.7067287149300103,0.5484851963715567,0.6613204401121098,-0.02528237507790898,0.0,0.5877852522924732,-0.8090169943749473,3.2276373033105434,0.11545624767162854,1.2936669974666448,0.8090231851281582,1.4671605321926464,1.810119923911024
2016-01-14,0.0165580609343845,22.379799145097987,0.02983914474626559,0.015817691154012877,1.7375017466934066,1.810119923911024,0.10339120898101362,-0.44509398739054307,0.0,0.0165580609343845,-0.587785252292473,-0.8090169943749475,3.1759683557124334,-0.05166894759811003,1.45354109251777,0.8470993324250606,1.464848972645371,1.8564564455144255
2016-01-15,-0.021835772698162614,22.42226287827557,0.04246373317758412,-0.01914728067983119,-0.9371771366103673,1.8564564455144255,0.046336521603401515,-0.0570546873776121,-0.021835772698162614,0.0,-0.9510565162951536,0.30901699437494723,3.296577349473713,0.12060899376127976,1.560525473042584,0.896634611513057,1.6154122984856367,1.3621737041072215
2016-01-19,0.0005316801874286625,22.318270083585816,-0.10399279468975564,-0.003888650835076104,0.50519236899511,1.3621737041072215,-0.49428274140720396,-0.5406192630106055,0.0,0.0005316801874286625,0.9510565162951535,0.30901699437494745,3.2600177389118725,-0.03655961056184065,1.578744461404227,0.9204475438258862,1.3854715274453813,2.384851509796415
